URL handle,Title,SKU,Option1 name,Option1 value,Tags
clear-acrylic-covered-cake-server-12-2-in,"Clear Acrylic Covered Cake Server, 12.2 in",13658,Title,Default Title,"Cake Stand, Clear, Acrylic, Poliestireno, Classic/Heritage, Minimalist, Coastal, Housewarming, Hostess Gift, Just Because, Entertaining, Serving, Gifting, Wedding Season, Mother's Day, Thanksgiving, The Sunday Table, Weekend Gatherings, The Host's Touch, Top-rack dishwasher-safe; lighter than glass; clear covered display, cat:outdoor, cat:new-arrivals"
bbq-utensil-set-with-acacia-handles-3-piece,"BBQ Utensil Set with Acacia Handles, 3 Piece",13683,Title,Default Title,"BBQ Tool Set, Natural Wood, Wood, Acacia, Stainless steel, BBQ, Organic Modern, Coastal, Minimalist, Housewarming, Hostess Gift, Self-Gift, Outdoor & Patio, Cooking & Baking, Entertaining, Father's Day, Fourth of July, Outdoor Living, The Backyard BBQ, Weekend Gatherings, Stainless steel heads; acacia wood handles; long reach for safer grill-side handling., cat:outdoor, cat:gifts, cat:new-arrivals, seg:season-opener"
acacia-handle-steak-knife-fork-set-8-piece,"Acacia Handle Steak Knife & Fork Set, 8-Piece",13684,Title,Default Title,"Steak Knife & Fork Set, Natural Wood, Acacia, Stainless steel, BBQ, Organic Modern, Classic/Heritage, Wabi-Sabi, Housewarming, Hostess Gift, Birthday, Outdoor & Patio, Entertaining, Serving, Father's Day, Fourth of July, The Backyard BBQ, Outdoor Living, Weekend Gatherings, Coordinated 8-piece fork-and-knife set; acacia wood handles with stainless steel heads, cat:outdoor, cat:gifts, cat:new-arrivals, seg:season-opener"
stainless-steel-bbq-basting-pot-brush-set,Stainless Steel BBQ Basting Pot & Brush Set,13687,Title,Default Title,"BBQ Basting Set, Silver, Stainless steel, BBQ, Minimalist, Classic/Heritage, Housewarming, Birthday, Hostess Gift, Outdoor & Patio, Serving, Entertaining, Father's Day, Fourth of July, Outdoor Living, The Backyard BBQ, Weekend Gatherings, Stainless steel construction; two-piece handled sauce pot and brush set., cat:outdoor, cat:gifts, cat:new-arrivals, seg:season-opener"
nomex-bbq-glove-with-extended-cuff,Nomex BBQ Glove with Extended Cuff,13688,Title,Default Title,"BBQ Glove, Black, Nomex, Cotton, Polyester, BBQ, Minimalist, Organic Modern, Housewarming, Hostess Gift, Self-Gift, Outdoor & Patio, Entertaining, Cooking & Baking, Father's Day, Fourth of July, The Backyard BBQ, Outdoor Living, The Host's Touch, 100% Nomex exterior; full-finger extended cuff; hand-washable, cat:outdoor, cat:new-arrivals"
stainless-steel-spiral-bbq-skewers-set-of-4,"Stainless Steel Spiral BBQ Skewers, Set of 4",13690,Title,Default Title,"BBQ Skewer Set, Silver, Stainless steel, BBQ, Minimalist, Organic Modern, Housewarming, Hostess Gift, Outdoor & Patio, Entertaining, Serving, Fourth of July, The Backyard BBQ, Outdoor Living, Weekend Gatherings, Reusable stainless steel; 16.9 in (43 cm) grilling reach; set of 4, cat:outdoor, cat:gifts, cat:new-arrivals, seg:season-opener"
stainless-steel-bbq-grill-basket,Stainless Steel BBQ Grill Basket,13692,Title,Default Title,"Grill Basket, Silver, Stainless steel, BBQ, Minimalist, Organic Modern, Classic/Heritage, Housewarming, Hostess Gift, Self-Gift, Outdoor & Patio, Entertaining, Cooking & Baking, Fourth of July, Father's Day, Mother's Day, Outdoor Living, The Backyard BBQ, Weekend Gatherings, Dishwasher-safe stainless steel., cat:outdoor, cat:new-arrivals"
stainless-steel-meat-and-bbq-thermometer,Stainless Steel Meat and BBQ Thermometer,13693,Title,Default Title,"Meat Thermometer, Red, Silver, Stainless steel, BBQ, Minimalist, Classic/Heritage, Housewarming, Hostess Gift, Self-Gift, Cooking & Baking, Outdoor & Patio, Entertaining, Father's Day, Fourth of July, Thanksgiving, The Backyard BBQ, Cooking Together, The Host's Touch, Stainless steel construction; oven and BBQ use, cat:outdoor, cat:new-arrivals"
acacia-bbq-knife-and-fork-set,Acacia BBQ Knife and Fork Set,13695,Title,Default Title,"BBQ Knife & Fork Set, Natural Wood, Wood, Acacia, Stainless steel, BBQ, Organic Modern, Wabi-Sabi, Minimalist, Housewarming, Birthday, Holiday Gift, Outdoor & Patio, Serving, Entertaining, Father's Day, Fourth of July, Thanksgiving, The Backyard BBQ, Outdoor Living, Weekend Gatherings, Stainless steel and acacia wood; extra-long reach, cat:outdoor, cat:gifts, cat:new-arrivals, seg:season-opener"
acacia-and-stainless-steel-bbq-tongs,Acacia and Stainless Steel BBQ Tongs,13697,Title,Default Title,"BBQ Tongs, Natural Wood, Silver, Stainless steel, BBQ, Organic Modern, Scandinavian, Minimalist, Housewarming, Wedding, Hostess Gift, Outdoor & Patio, Entertaining, Cooking & Baking, Father's Day, Fourth of July, Wedding Season, Outdoor Living, The Backyard BBQ, The Host's Touch, Stainless steel construction; extra-long reach; natural wood handles, cat:outdoor, cat:new-arrivals, seg:the-first-kitchen"
gold-stainless-steel-serving-utensils-set-of-2,"Gold Stainless Steel Serving Utensils, Set of 2",13805,Title,Default Title,"Serving Utensils, Gold, Stainless steel, SERVIDORAS DORADO, Organic Modern, Minimalist, Classic/Heritage, Housewarming, Wedding, Hostess Gift, Entertaining, Serving, Gifting, Thanksgiving, Christmas, Wedding Season, The Dinner Party, Weekend Gatherings, Hostess Gifts, Dishwasher-safe stainless steel; gold set of 2, cat:tabletop, cat:gifts, cat:new-arrivals, seg:first-dinner-party, seg:season-opener, seg:the-first-kitchen, seg:the-full-table"
stainless-steel-tea-infuser-ball-with-chain-1-7-in,"Stainless Steel Tea Infuser Ball with Chain, 1.7 in",14041,Title,Default Title,"Tea Infuser, Silver, Stainless steel, Minimalist, Scandinavian, Japandi, Hostess Gift, Thank-You, Just Because, Coffee & Tea, Everyday Use, Gifting, Mother's Day, Christmas, The Tea Ritual, Slow Mornings, Hostess Gifts, Reusable stainless steel; chain-and-hook removal, cat:tabletop, cat:new-arrivals, seg:weeknight-ceremony"
stainless-steel-tea-infuser-tongs-1-6-in,"Stainless Steel Tea Infuser Tongs, 1.6 in",14042,Title,Default Title,"Tea Infuser Tongs, Silver, Stainless steel, Minimalist, Scandinavian, Classic/Heritage, Hostess Gift, Thank-You, Just Because, Coffee & Tea, Everyday Use, Gifting, Christmas, Hanukkah, Mother's Day, The Tea Ritual, Slow Mornings, Hostess Gifts, Dishwasher-safe stainless steel; one-cup mesh ball with tong handle, cat:tabletop, cat:new-arrivals, seg:weeknight-ceremony"
green-aluminum-lemon-squeezer,Green Aluminum Lemon Squeezer,14043,Title,Default Title,"Lemon Squeezer, Green, Aluminum, Organic Modern, Minimalist, Housewarming, Hostess Gift, Self-Gift, Cooking & Baking, Cocktail Hour, Bar & Barware, Thanksgiving, Christmas, Cooking Together, The Well-Set Bar, Aluminum construction; easy hand-wash care, cat:kitchen, cat:new-arrivals, seg:season-opener"
stainless-steel-coffee-measuring-spoon-with-clip,Stainless Steel Coffee Measuring Spoon with Clip,14044,Title,Default Title,"Coffee Measuring Spoon, Silver, Stainless steel, Minimalist, Scandinavian, Organic Modern, Housewarming, Thank-You, Hostess Gift, Coffee & Tea, Everyday Use, Gifting, Christmas, Father's Day, Mother's Day, The Coffee Ritual, Slow Mornings, The Host's Touch, Stainless steel; built-in bag clip, cat:tabletop, cat:new-arrivals, seg:weeknight-ceremony"
gray-apple-slicer-corer-with-stainless-steel-blades,Gray Apple Slicer & Corer with Stainless Steel Blades,14045,Title,Default Title,"Apple Slicer, Gray, Plastic, Stainless steel, Minimalist, Scandinavian, Organic Modern, Housewarming, Graduation, Self-Gift, Everyday Use, Cooking & Baking, Gifting, Thanksgiving, Slow Mornings, Weekend Brunch, The Host's Touch, Stainless steel blades; easy hand cleaning, cat:kitchen, cat:new-arrivals"
gray-silicone-baking-spoon-11-in,"Gray Silicone Baking Spoon, 11 in",14046,Title,Default Title,"Baking Spoon, Gray, Silicone, SILICONA GRIS, Minimalist, Organic Modern, Japandi, Housewarming, Hostess Gift, Self-Gift, Cooking & Baking, Everyday Use, Gifting, Wedding Season, Cooking Together, Weekend Brunch, The Housewarming, Heat-resistant silicone; dishwasher-safe; gentle for coated cookware, cat:kitchen, cat:new-arrivals"
12-inch-stainless-steel-balloon-whisk,12-Inch Stainless Steel Balloon Whisk,14047,Title,Default Title,"Balloon Whisk, Silver, Stainless steel, Minimalist, Scandinavian, Housewarming, Hostess Gift, Self-Gift, Everyday Use, Cooking & Baking, Gifting, Wedding Season, Cooking Together, Weekend Brunch, The Host's Touch, Dishwasher-safe stainless steel; hanging loop for utensil hooks, cat:kitchen, cat:new-arrivals"
15-cavity-star-silicone-mold-for-candy,15-Cavity Star Silicone Mold for Candy,14048,Title,Default Title,"Candy Mold, Gray, Silicone, Minimalist, Scandinavian, Organic Modern, Housewarming, Hostess Gift, Holiday Gift, Cooking & Baking, Bar & Barware, Gifting, Christmas, New Year, Fourth of July, The Tea Ritual, Cocktail Hour, Holiday Traditions, Non-toxic silicone; freezer- and dishwasher-safe; heat-resistant, with no direct flame or hot-oil contact., cat:kitchen, cat:new-arrivals, seg:season-opener"
gray-polypropylene-measuring-cups-set-of-11,"Gray Polypropylene Measuring Cups, Set of 11",14055,Title,Default Title,"Measuring Cup Set, Gray, Polypropylene, Minimalist, Scandinavian, Organic Modern, Housewarming, Hostess Gift, Self-Gift, Everyday Use, Cooking & Baking, Gifting, Wedding Season, Cooking Together, Recipes Worth Passing Down, The Host's Touch, 11-piece set; easy-clean polypropylene, cat:kitchen, cat:gifts, cat:new-arrivals, seg:first-dinner-party, seg:the-first-kitchen, seg:weeknight-ceremony"
food-storage-container-with-airtight-lid-white-2-3-fl-oz-68-ml,"Food Storage Container with Airtight Lid, White, 2.3 fl oz (68 mL)",14716,Title,Default Title,"Airtight Food Storage Container, White, Clear, Polypropylene, Silicone, CONTENEDORES PLASTICOS BLANCO, Minimalist, Scandinavian, Organic Modern, Housewarming, Thank-You, Self-Gift, Everyday Use, Coffee & Tea, Gifting, Wedding Season, Cooking Together, The Host's Touch, The Housewarming, Airtight locking lid with silicone seal; microwave use with lid removed; freezer use with headspace., cat:kitchen, cat:new-arrivals"
small-airtight-food-storage-container-white-5-9-fl-oz,"Small Airtight Food Storage Container, White, 5.9 fl oz",14718,Title,Default Title,"Food Storage Container, White, Clear, Polypropylene, Silicone, CONTENEDORES PLASTICOS BLANCO, Minimalist, Scandinavian, Organic Modern, Housewarming, Hostess Gift, Self-Gift, Everyday Use, Cooking & Baking, Gifting, Graduation Season, Cooking Together, The Overnight Guest, The Host's Touch, Airtight silicone seal; microwave-safe with the lid removed., cat:kitchen, cat:new-arrivals"
white-airtight-divided-food-storage-container-21-3-fl-oz,"White Airtight Divided Food Storage Container, 21.3 fl oz",14720,Title,Default Title,"Food Storage Container, White, Clear, Polypropylene, Silicone, CONTENEDORES PLASTICOS BLANCO, Minimalist, Scandinavian, Japandi, Housewarming, Thank-You, Self-Gift, Everyday Use, Cooking & Baking, Gifting, Thanksgiving, Christmas, Cooking Together, The Potluck, Open-Door Hospitality, Airtight locking lid; built-in divider; microwave-safe base with lid removed., cat:kitchen, cat:new-arrivals"
small-white-locking-food-storage-container,Small White Locking Food Storage Container,14721,Title,Default Title,"Food Storage Container, White, Clear, Polypropylene, Silicone, CONTENEDORES PLASTICOS BLANCO, Minimalist, Scandinavian, Organic Modern, Housewarming, Hostess Gift, Self-Gift, Everyday Use, Cooking & Baking, Gifting, Thanksgiving, Christmas, Cooking Together, Open-Door Hospitality, The Thoughtful Thank-You, Airtight locking closure; clear base for quick contents checks, cat:kitchen, cat:new-arrivals"
white-airtight-food-storage-container-13-9-fl-oz,"White Airtight Food Storage Container, 13.9 fl oz",14723,Title,Default Title,"Food Storage Container, White, Clear, Polypropylene, Silicone, CONTENEDORES PLASTICOS BLANCO, Minimalist, Scandinavian, Organic Modern, Housewarming, Thank-You, Self-Gift, Everyday Use, Cooking & Baking, Gifting, Thanksgiving, Cooking Together, The Overnight Guest, The Host's Touch, Airtight silicone seal; microwave-safe base with lid removed; freezer-safe when left 3/4 empty., cat:kitchen, cat:new-arrivals"
white-airtight-food-storage-container-38-9-fl-oz,"White Airtight Food Storage Container, 38.9 fl oz",14724,Title,Default Title,"Food Storage Container, White, Clear, Polypropylene, Silicone, CONTENEDORES PLASTICOS BLANCO, Minimalist, Scandinavian, Organic Modern, Housewarming, Thank-You, Self-Gift, Everyday Use, Cooking & Baking, Gifting, Thanksgiving, Christmas, Cooking Together, Weekend Gatherings, Open-Door Hospitality, Airtight locking lid with silicone seal; microwave-compatible base with lid removed; freezer safe with expansion space., cat:kitchen, cat:new-arrivals"
white-travel-flatware-set-with-case,White Travel Flatware Set with Case,14729,Title,Default Title,"Travel Flatware Set, White, Clear, Polypropylene, Silicone, CONTENEDORES PLASTICOS BLANCO, Minimalist, Scandinavian, Japandi, Graduation, Thank-You, Self-Gift, Everyday Use, Outdoor & Patio, Gifting, Graduation Season, A Table for One, The Overnight Guest, Just Because, Reusable utensils with case; fork, knife, spoon, and fitted storage case; lightweight polypropylene and silicone., cat:tabletop, cat:gifts, cat:new-arrivals, seg:first-dinner-party"
reusable-condiment-cups-set-of-4,"Reusable Condiment Cups, Set of 4",14730,Title,Default Title,"Sauce Container, White, Clear, Polypropylene, CONTENEDORES PLASTICOS BLANCO, Minimalist, Scandinavian, Housewarming, Hostess Gift, Self-Gift, Everyday Use, Serving, Gifting, Fourth of July, The Host's Touch, Picnics, Open-Door Hospitality, Set of 4 locking-lid cups; microwave-safe bases with lids removed before heating; freezer-ready storage with headspace, cat:kitchen, cat:gifts, cat:new-arrivals, seg:first-dinner-party"
black-9-cup-aluminum-moka-pot,Black 9 Cup Aluminum Moka Pot,14817,Title,Default Title,"Moka Pot, Black, Aluminum, Polypropylene, MOKA, Minimalist, Organic Modern, Scandinavian, Housewarming, Wedding, Self-Gift, Coffee & Tea, Everyday Use, Gifting, Christmas, Mother's Day, Father's Day, The Coffee Ritual, Slow Mornings, The Housewarming, 9-cup capacity; aluminum construction for concentrated stovetop coffee, cat:tabletop, cat:new-arrivals, seg:weeknight-ceremony"
natural-wood-door-knob-decorative-wood-door-pull,Natural Wood Door Knob | Decorative Wood Door Pull,14868,Title,Default Title,"Door Knob, Natural Wood, Wood, Organic Modern, Wabi-Sabi, Classic/Heritage, Housewarming, Self-Gift, Just Because, Everyday Use, Décor & Styling, Gifting, The Collected Home, Objects with Stories, The Housewarming, Natural wood; substantial hand feel; soft dry-cloth care., cat:decor, cat:new-arrivals"
slate-stainless-steel-kitchen-scissors-with-case,Slate Stainless Steel Kitchen Scissors with Case,14969,Title,Default Title,"Kitchen Scissors, Silver, Stainless steel, SLATE, Minimalist, Organic Modern, Scandinavian, Housewarming, Hostess Gift, Self-Gift, Cooking & Baking, Everyday Use, Gifting, Wedding Season, Cooking Together, The Host's Touch, The Housewarming, Stainless steel; dishwasher-safe; includes protective case., cat:kitchen, cat:new-arrivals"
silver-stainless-steel-cocktail-bar-spoon-12-2-in,"Silver Stainless Steel Cocktail Bar Spoon, 12.2 in",16140,Title,Default Title,"Bar Spoon, Silver, Stainless steel, Minimalist, Classic/Heritage, Organic Modern, Housewarming, Hostess Gift, Self-Gift, Bar & Barware, Cocktail Hour, Gifting, New Year, Father's Day, Wedding Season, The Nightcap, The Well-Set Bar, Stainless steel; long handle for mixing glasses and pitchers, cat:bar-glassware, cat:new-arrivals, seg:season-opener"
gold-tone-stainless-steel-bar-mixing-spoon,Gold-Tone Stainless Steel Bar Mixing Spoon,16142,Title,Default Title,"Bar Spoon, Gold, Stainless steel, Organic Modern, Minimalist, Classic/Heritage, Housewarming, Wedding, Hostess Gift, Cocktail Hour, Bar & Barware, Entertaining, New Year, Wedding Season, The Well-Set Bar, Hostess Gifts, Stainless steel; long handle for stirring in mixing glasses and pitchers; gold-tone finish, cat:bar-glassware, cat:new-arrivals, seg:season-opener"
round-rubberwood-cheese-board-set-with-knives,Round Rubberwood Cheese Board Set with Knives,16145,Title,Default Title,"Cheese Board Set, Natural Wood, Wood, Caucho, Stainless steel, Organic Modern, Scandinavian, Minimalist, Housewarming, Wedding, Hostess Gift, Serving, Entertaining, Gifting, Wedding Season, Thanksgiving, Christmas, Wine Night, The Dinner Party, Hostess Gifts, Rubberwood board with internal tool storage; four stainless steel cheese tools included, cat:tabletop, cat:gifts, cat:new-arrivals, seg:first-dinner-party, seg:the-first-kitchen, seg:the-full-table"
forged-aluminum-hamburger-press,Forged Aluminum Hamburger Press,16508,Title,Default Title,"Hamburger Press, Silver, Aluminum, Forjado, BBQ, Minimalist, Organic Modern, Housewarming, Birthday, Hostess Gift, Outdoor & Patio, Entertaining, Cooking & Baking, Father's Day, Fourth of July, The Backyard BBQ, Weekend Gatherings, Forged aluminum construction; compact 4.4 in (11.3 cm) patty mold, cat:outdoor, cat:new-arrivals"
black-cast-iron-fondue-set,Black Cast Iron Fondue Set,16578,Title,Default Title,"Fondue Set, Black, Iron, Fundido, Plastic, Organic Modern, Scandinavian, Minimalist, Housewarming, Wedding, Hostess Gift, Entertaining, Dinner Party, Serving, Christmas, New Year, Valentine's Day, The Dinner Party, The Host's Touch, The Gift That Becomes a Tradition, Cast iron heat retention; 40.6 fl oz (1200 mL) capacity; hand wash recommended, cat:tabletop, cat:new-arrivals, seg:the-full-table"
glass-vinegar-spray-bottle-for-oil,Glass Vinegar Spray Bottle for Oil,18647,Title,Default Title,"Oil & Vinegar Sprayer, Silver, Glass, Prolipropileno, Stainless steel, Organic Modern, Minimalist, Scandinavian, Housewarming, Hostess Gift, Self-Gift, Everyday Use, Cooking & Baking, Serving, Cooking Together, The Host's Touch, Everyday Celebrations, Glass bottle; stainless steel and polypropylene sprayer; refillable 3.4 fl oz (100 mL) capacity, cat:kitchen, cat:new-arrivals"
gray-silicone-reusable-piping-bag,Gray Silicone Reusable Piping Bag,18652,Title,Default Title,"Piping Bag, Gray, Silicone, Polypropylene, SILICONA GRIS, Minimalist, Organic Modern, Scandinavian, Housewarming, Hostess Gift, Self-Gift, Cooking & Baking, Gifting, Special Occasion, Christmas, Mother's Day, Wedding Season, Cooking Together, Recipes Worth Passing Down, The Thoughtful Thank-You, Reusable silicone; 13.5 fl oz (400 mL) capacity; easy hand-wash care, cat:kitchen, cat:new-arrivals"
large-springform-pan-in-carbon-steel-10-2-in,"Large Springform Pan in Carbon Steel, 10.2 in",18656,Title,Default Title,"Springform Pan, Silver, Steel, Carbono, Minimalist, Scandinavian, Organic Modern, Housewarming, Wedding, Hostess Gift, Cooking & Baking, Gifting, Special Occasion, Christmas, Mother's Day, Thanksgiving, Recipes Worth Passing Down, The Sunday Table, The Gift That Becomes a Tradition, Removable base; oven-, freezer-, and dishwasher-safe carbon steel, cat:kitchen, cat:new-arrivals"
gray-mini-silicone-utensil-set-set-of-4,"Gray Mini Silicone Utensil Set, Set of 4",18660,Title,Default Title,"Mini Utensil Set, Gray, Silicone, SILICONA GRIS, Minimalist, Japandi, Organic Modern, Housewarming, Hostess Gift, Self-Gift, Everyday Use, Cooking & Baking, Gifting, Wedding Season, Cooking Together, Weekend Brunch, The Host's Touch, Dishwasher-safe utensil set; heat-resistant silicone; set of 4, cat:kitchen, cat:gifts, cat:new-arrivals, seg:first-dinner-party"
duo-lemon-lime-juicer-yellow-green,"Duo Lemon Lime Juicer, Yellow & Green",18661,Title,Default Title,"Citrus Squeezer, Yellow, Green, Aluminum, Bauhaus, Minimalist, Housewarming, Hostess Gift, Self-Gift, Everyday Use, Bar & Barware, Cooking & Baking, Wedding Season, Cocktail Hour, Cooking Together, The Well-Set Bar, Aluminum construction; two-in-one lemon and lime press, cat:kitchen, cat:new-arrivals, seg:season-opener"
clear-acrylic-pitcher-with-lid-64-2-fl-oz,"Clear Acrylic Pitcher with Lid, 64.2 fl oz",18747,Title,Default Title,"Pitcher, Clear, Acrylic, Minimalist, Organic Modern, Coastal, Housewarming, Hostess Gift, Self-Gift, Outdoor & Patio, Serving, Entertaining, Fourth of July, Outdoor Living, Poolside, Weekend Gatherings, Lightweight clear acrylic; covered cold-drink service; top-rack dishwasher-safe., cat:outdoor, cat:new-arrivals, seg:season-opener"
pietra-porcelain-dip-bowl-2-8-in,"Pietra Porcelain Dip Bowl, 2.8 in",18879,Title,Default Title,"Dip Bowl, Brown, Gray, Porcelain, PIETRA, Organic Modern, Wabi-Sabi, Minimalist, Housewarming, Hostess Gift, Just Because, Everyday Use, Entertaining, Serving, Thanksgiving, Christmas, Wedding Season, The Host's Touch, Cocktail Hour, The Art of the Table, Porcelain; microwave- and dishwasher-safe, cat:tabletop, cat:new-arrivals, seg:the-full-table"
pietra-porcelain-soup-bowl-with-handle-16-9-fl-oz,"Pietra Porcelain Soup Bowl with Handle, 16.9 fl oz",18891,Title,Default Title,"Soup Bowl, Brown, Gray, Porcelain, PIETRA, Organic Modern, Wabi-Sabi, Minimalist, Housewarming, Hostess Gift, Self-Gift, Everyday Use, Serving, Entertaining, Thanksgiving, Christmas, Slow Evenings, The Sunday Table, The Host's Touch, Microwave-safe porcelain; dishwasher-safe, cat:tabletop, cat:new-arrivals"
matte-copper-stainless-steel-moscow-mule-mug,Matte Copper Stainless Steel Moscow Mule Mug,18926,Title,Default Title,"Moscow Mule Mug, Copper, Stainless steel, MOSCU, Organic Modern, Mid-Century, Classic/Heritage, Housewarming, Hostess Gift, Birthday, Cocktail Hour, Bar & Barware, Entertaining, New Year, Wedding Season, The Well-Set Bar, Hostess Gifts, 100% stainless steel; 18.6 fl oz (550 mL) capacity, cat:bar-glassware, cat:new-arrivals, seg:season-opener"
12-cup-black-moka-pot-coffee-maker,12-Cup Black Moka Pot Coffee Maker,19098,Title,Default Title,"Moka Pot, Black, Aluminum, Polypropylene, MOKA, Minimalist, Organic Modern, Scandinavian, Housewarming, Holiday Gift, Self-Gift, Coffee & Tea, Everyday Use, Gifting, Christmas, Mother's Day, Father's Day, The Coffee Ritual, Slow Mornings, The Overnight Guest, 12-cup capacity; aluminum body with polypropylene handle; hand-wash care helps preserve flavor., cat:tabletop, cat:new-arrivals, seg:weeknight-ceremony"
gray-granite-look-aluminum-frying-pan-7-9-in-20-cm,"Gray Granite-Look Aluminum Frying Pan, 7.9 in (20 cm)",19145,Title,Default Title,"Frying Pan, Gray, Aluminum, Baquelita, GRANITO, Organic Modern, Minimalist, Scandinavian, Housewarming, Graduation, Self-Gift, Everyday Use, Cooking & Baking, Gifting, Graduation Season, Wedding Season, Slow Mornings, Cooking Together, A Table for One, Abrasion-resistant nonstick performance; aluminum body with Bakelite handle., cat:kitchen, cat:new-arrivals, seg:weeknight-ceremony"
gray-granite-nonstick-frying-pan-9-4-in-24-cm,"Gray Granite Nonstick Frying Pan, 9.4 in (24 cm)",19146,Title,Default Title,"Frying Pan, Gray, Aluminum, Baquelita, GRANITO, Organic Modern, Minimalist, Japandi, Housewarming, Wedding, Self-Gift, Everyday Use, Cooking & Baking, Gifting, Wedding Season, Slow Mornings, Cooking Together, The Housewarming, Abrasion-resistant granite nonstick coating; aluminum body with Bakelite handle, cat:kitchen, cat:new-arrivals, seg:the-first-kitchen, seg:weeknight-ceremony"
small-granite-effect-nonstick-saucepan-with-lid,Small Granite-Effect Nonstick Saucepan with Lid,19147,Title,Default Title,"Saucepan, Gray, Aluminum, Baquelit, Glass, Silicone, GRANITO, Organic Modern, Minimalist, Scandinavian, Housewarming, Wedding, Self-Gift, Everyday Use, Cooking & Baking, Gifting, Wedding Season, Mother's Day, Cooking Together, The Sunday Table, The Housewarming, Granite-effect nonstick coating; glass lid and long handle for controlled daily cooking, cat:kitchen, cat:new-arrivals, seg:the-first-kitchen, seg:weeknight-ceremony"
gray-granite-effect-nonstick-cooking-pot-with-glass-lid,Gray Granite-Effect Nonstick Cooking Pot with Glass Lid,19148,Title,Default Title,"Nonstick Pot, Gray, Aluminum, Baquelita, Glass, Silicone, GRANITO, Organic Modern, Minimalist, Wabi-Sabi, Housewarming, Wedding, Self-Gift, Everyday Use, Cooking & Baking, Gifting, Wedding Season, Cooking Together, Open-Door Hospitality, Recipes Worth Passing Down, Nonstick granite-effect coating; clear glass lid, cat:kitchen, cat:new-arrivals, seg:the-first-kitchen, seg:weeknight-ceremony"
gray-granite-nonstick-pot-with-glass-lid-9-4-in,"Gray Granite Nonstick Pot with Glass Lid, 9.4 in",19149,Title,Default Title,"Stock Pot, Gray, Aluminum, Baquelita, Glass, Silicone, GRANITO, Organic Modern, Minimalist, Scandinavian, Housewarming, Wedding, Self-Gift, Everyday Use, Cooking & Baking, Gifting, Thanksgiving, Christmas, Wedding Season, Cooking Together, Weekend Gatherings, The Housewarming, 5.1 qt (4.8 L) capacity with glass lid; granite-effect nonstick coating for clean release., cat:kitchen, cat:new-arrivals, seg:the-first-kitchen, seg:weeknight-ceremony"
cast-aluminum-mini-frying-pan-5-5-in,"Cast Aluminum Mini Frying Pan, 5.5 in",19151,Title,Default Title,"Mini Frying Pan, Black, Aluminum, Organic Modern, Minimalist, Scandinavian, Housewarming, Hostess Gift, Self-Gift, Everyday Use, Cooking & Baking, Gifting, Mother's Day, Father's Day, Wedding Season, Slow Mornings, Cooking Together, A Table for One, Cast aluminum with improved abrasion resistance; enhanced nonstick performance, cat:kitchen, cat:new-arrivals, seg:weeknight-ceremony"
stainless-steel-bottle-pourer-stopper-set-of-2,Stainless Steel Bottle Pourer Stopper Set of 2,19410,Title,Default Title,"Bottle Pourer Stopper, Silver, Tpe, Stainless steel, Organic Modern, Minimalist, Scandinavian, Housewarming, Hostess Gift, Just Because, Everyday Use, Entertaining, Serving, Wedding Season, The Dinner Party, Cooking Together, Open-Door Hospitality, Stainless steel with ribbed TPE grip; set of 2, cat:kitchen, cat:gifts, cat:new-arrivals, seg:first-dinner-party, seg:someone-in-mind, seg:the-full-table"
gray-stainless-steel-kitchen-prep-tool-set-3-piece,"Gray Stainless Steel Kitchen Prep Tool Set, 3-Piece",19827,Title,Default Title,"Kitchen Prep Tool Set, Gray, Plastic, Stainless steel, Minimalist, Scandinavian, Organic Modern, Housewarming, Graduation, Self-Gift, Everyday Use, Cooking & Baking, Gifting, Graduation Season, Wedding Season, Cooking Together, The Housewarming, The Thoughtful Thank-You, Stainless steel cutting edges; compact 3-piece prep set, cat:kitchen, cat:gifts, cat:new-arrivals, seg:first-dinner-party, seg:weeknight-ceremony"
gravur-clear-acrylic-wine-glass-15-0-fl-oz,"Gravur Clear Acrylic Wine Glass, 15.0 fl oz",20076,Title,Default Title,"Wine Glass, Clear, Acrylic, Poliestireno, GRAVUR, Classic/Heritage, Coastal, Organic Modern, Housewarming, Hostess Gift, Self-Gift, Outdoor & Patio, Bar & Barware, Entertaining, Fourth of July, Wedding Season, Outdoor Living, Poolside, Wine Night, Lightweight, impact-resistant; top-rack dishwasher-safe., cat:outdoor, cat:new-arrivals"
borosilicate-glass-pitcher-with-lid-44-0-fl-oz-1300-ml,"Borosilicate Glass Pitcher with Lid, 44.0 fl oz (1300 mL)",20090,Title,Default Title,"Pitcher, Clear, Glass, Pp, Silicone, Stainless steel, Minimalist, Scandinavian, Organic Modern, Housewarming, Hostess Gift, Thank-You, Everyday Use, Serving, Entertaining, Wedding Season, The Tea Ritual, Weekend Brunch, Open-Door Hospitality, Borosilicate glass body; stainless steel lid with silicone and polypropylene components, cat:tabletop, cat:new-arrivals, seg:someone-in-mind"
